directory,non_static,tested,tag
,68674,460,v3.0
Documentation,51,1,v3.0
arch,16307,171,v3.0
block,260,0,v3.0
crypto,165,11,v3.0
drivers,31427,103,v3.0
firmware,1,0,v3.0
fs,7453,8,v3.0
init,16,0,v3.0
ipc,63,0,v3.0
kernel,2009,67,v3.0
lib,602,51,v3.0
mm,949,16,v3.0
net,5604,9,v3.0
samples,2,0,v3.0
scripts,330,0,v3.0
security,644,0,v3.0
sound,2112,0,v3.0
tools,572,23,v3.0
usr,1,0,v3.0
virt,106,0,v3.0
Documentation/accounting,1,0,v3.0
Documentation/arm,4,0,v3.0
Documentation/auxdisplay,1,0,v3.0
Documentation/cgroups,1,0,v3.0
Documentation/connector,1,0,v3.0
Documentation/filesystems,1,0,v3.0
Documentation/ia64,1,0,v3.0
Documentation/laptops,10,0,v3.0
Documentation/networking,2,0,v3.0
Documentation/pcmcia,1,0,v3.0
Documentation/prctl,13,1,v3.0
Documentation/ptp,1,0,v3.0
Documentation/spi,2,0,v3.0
Documentation/timers,5,0,v3.0
Documentation/virtual,1,0,v3.0
Documentation/vm,4,0,v3.0
Documentation/watchdog,2,0,v3.0
arch/alpha,362,9,v3.0
arch/arm,3428,5,v3.0
arch/avr32,167,2,v3.0
arch/blackfin,342,5,v3.0
arch/cris,339,9,v3.0
arch/frv,170,4,v3.0
arch/h8300,97,4,v3.0
arch/ia64,878,6,v3.0
arch/m32r,271,3,v3.0
arch/m68k,574,10,v3.0
arch/microblaze,168,5,v3.0
arch/mips,1783,11,v3.0
arch/mn10300,273,1,v3.0
arch/parisc,384,12,v3.0
arch/powerpc,2185,16,v3.0
arch/s390,446,11,v3.0
arch/score,105,1,v3.0
arch/sh,729,11,v3.0
arch/sparc,829,6,v3.0
arch/tile,296,10,v3.0
arch/um,486,5,v3.0
arch/unicore32,136,4,v3.0
arch/x86,1721,20,v3.0
arch/xtensa,138,1,v3.0
crypto/async_tx,14,1,v3.0
drivers/accessibility,2,0,v3.0
drivers/acpi,757,0,v3.0
drivers/amba,7,0,v3.0
drivers/ata,277,0,v3.0
drivers/atm,6,0,v3.0
drivers/auxdisplay,12,0,v3.0
drivers/base,345,13,v3.0
drivers/bcma,24,0,v3.0
drivers/block,252,0,v3.0
drivers/bluetooth,22,0,v3.0
drivers/cdrom,13,0,v3.0
drivers/char,219,3,v3.0
drivers/clk,8,0,v3.0
drivers/clocksource,7,0,v3.0
drivers/connector,14,3,v3.0
drivers/cpufreq,27,0,v3.0
drivers/cpuidle,20,0,v3.0
drivers/crypto,30,0,v3.0
drivers/dca,17,0,v3.0
drivers/dio,6,0,v3.0
drivers/dma,87,1,v3.0
drivers/edac,73,0,v3.0
drivers/eisa,3,0,v3.0
drivers/firewire,45,0,v3.0
drivers/firmware,18,0,v3.0
drivers/gpio,72,0,v3.0
drivers/gpu,2089,9,v3.0
drivers/hid,66,0,v3.0
drivers/hwmon,14,0,v3.0
drivers/hwspinlock,9,0,v3.0
drivers/i2c,49,0,v3.0
drivers/ide,187,0,v3.0
drivers/idle,1,0,v3.0
drivers/infiniband,1280,0,v3.0
drivers/input,163,0,v3.0
drivers/isdn,899,2,v3.0
drivers/leds,20,0,v3.0
drivers/lguest,51,0,v3.0
drivers/macintosh,106,0,v3.0
drivers/mca,27,0,v3.0
drivers/md,206,0,v3.0
drivers/media,2440,12,v3.0
drivers/memstick,15,0,v3.0
