directory,functions,tested,tag
,275215,994,v3.0
Documentation,263,5,v3.0
arch,42320,214,v3.0
block,768,0,v3.0
crypto,1111,36,v3.0
drivers,160032,422,v3.0
firmware,7,0,v3.0
fs,20423,43,v3.0
init,99,3,v3.0
ipc,223,0,v3.0
kernel,5870,98,v3.0
lib,1144,90,v3.0
mm,2569,18,v3.0
net,18440,20,v3.0
samples,68,0,v3.0
scripts,855,6,v3.0
security,1926,0,v3.0
sound,17190,5,v3.0
tools,1657,34,v3.0
usr,19,0,v3.0
virt,231,0,v3.0
Documentation/accounting,9,0,v3.0
Documentation/arm,4,0,v3.0
Documentation/auxdisplay,12,0,v3.0
Documentation/blackfin,3,0,v3.0
Documentation/cgroups,1,0,v3.0
Documentation/connector,7,2,v3.0
Documentation/filesystems,38,0,v3.0
Documentation/ia64,5,0,v3.0
Documentation/laptops,16,0,v3.0
Documentation/networking,23,1,v3.0
Documentation/pcmcia,2,1,v3.0
Documentation/prctl,13,1,v3.0
Documentation/ptp,7,0,v3.0
Documentation/spi,9,0,v3.0
Documentation/timers,6,0,v3.0
Documentation/virtual,55,0,v3.0
Documentation/vm,50,0,v3.0
Documentation/watchdog,3,0,v3.0
arch/alpha,940,11,v3.0
arch/arm,10728,6,v3.0
arch/avr32,387,2,v3.0
arch/blackfin,640,5,v3.0
arch/cris,657,12,v3.0
arch/frv,296,5,v3.0
arch/h8300,132,5,v3.0
arch/ia64,1958,7,v3.0
arch/m32r,505,5,v3.0
arch/m68k,1002,10,v3.0
arch/microblaze,285,5,v3.0
arch/mips,4027,11,v3.0
arch/mn10300,455,4,v3.0
arch/parisc,620,12,v3.0
arch/powerpc,6608,17,v3.0
arch/s390,1281,12,v3.0
arch/score,137,1,v3.0
arch/sh,1665,13,v3.0
arch/sparc,2186,7,v3.0
arch/tile,505,10,v3.0
arch/um,973,6,v3.0
arch/unicore32,269,4,v3.0
arch/x86,5826,41,v3.0
arch/xtensa,238,3,v3.0
crypto/async_tx,35,7,v3.0
drivers/accessibility,9,0,v3.0
drivers/acpi,1643,0,v3.0
drivers/amba,36,0,v3.0
drivers/ata,1954,2,v3.0
drivers/atm,723,1,v3.0
drivers/auxdisplay,40,0,v3.0
drivers/base,658,13,v3.0
drivers/bcma,69,0,v3.0
drivers/block,2228,1,v3.0
drivers/bluetooth,341,0,v3.0
drivers/cdrom,169,0,v3.0
drivers/char,1953,5,v3.0
drivers/clk,9,0,v3.0
drivers/clocksource,103,0,v3.0
drivers/connector,25,3,v3.0
drivers/cpufreq,365,1,v3.0
drivers/cpuidle,58,0,v3.0
drivers/crypto,626,0,v3.0
drivers/dca,27,0,v3.0
drivers/dio,16,0,v3.0
